Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,SeasonCode
15/08/2025,Girona,Vallecano,1,3,A,2.24,3.26,3.26,2526
15/08/2025,Villarreal,Oviedo,2,0,H,1.38,4.74,8.11,2526
16/08/2025,Mallorca,Barcelona,0,3,A,6.75,4.74,1.43,2526
16/08/2025,Alaves,Levante,2,1,H,2.19,3.04,3.64,2526
16/08/2025,Valencia,Sociedad,1,1,D,2.55,2.89,3.07,2526
17/08/2025,Celta,Getafe,0,2,A,1.71,3.48,5.25,2526
17/08/2025,Ath Bilbao,Sevilla,3,2,H,1.55,3.91,6.17,2526
17/08/2025,Espanol,Ath Madrid,2,1,H,6.25,3.86,1.55,2526
18/08/2025,Elche,Betis,1,1,D,3.33,3.27,2.17,2526
19/08/2025,Real Madrid,Osasuna,1,0,H,1.2,6.66,13.16,2526
22/08/2025,Betis,Alaves,1,0,H,1.88,3.38,4.37,2526
23/08/2025,Mallorca,Celta,1,1,D,2.94,3.09,2.52,2526
23/08/2025,Ath Madrid,Elche,1,1,D,1.24,5.74,12.91,2526
23/08/2025,Levante,Barcelona,2,3,A,10.44,6.51,1.24,2526
24/08/2025,Osasuna,Valencia,1,0,H,2.36,3.11,3.13,2526
24/08/2025,Sociedad,Espanol,2,2,D,1.81,3.39,4.6,2526
24/08/2025,Villarreal,Girona,5,0,H,1.52,4.28,5.69,2526
24/08/2025,Oviedo,Real Madrid,0,3,A,9.67,5.24,1.3,2526
25/08/2025,Ath Bilbao,Vallecano,1,0,H,1.69,3.55,5.18,2526
25/08/2025,Sevilla,Getafe,1,2,A,2.25,2.99,3.46,2526
27/08/2025,Celta,Betis,1,1,D,2.19,3.48,3.17,2526
29/08/2025,Elche,Levante,2,0,H,2.17,3.19,3.52,2526
29/08/2025,Valencia,Getafe,3,0,H,2.25,2.94,3.63,2526
30/08/2025,Alaves,Ath Madrid,1,1,D,4.64,3.55,1.78,2526
30/08/2025,Oviedo,Sociedad,1,0,H,3.47,3.1,2.23,2526
30/08/2025,Girona,Sevilla,0,2,A,2.42,3.29,2.94,2526
30/08/2025,Real Madrid,Mallorca,2,1,H,1.18,6.96,14.97,2526
31/08/2025,Celta,Villarreal,1,1,D,2.71,3.53,2.43,2526
31/08/2025,Betis,Ath Bilbao,1,2,A,2.95,3.15,2.46,2526
31/08/2025,Espanol,Osasuna,1,0,H,2.34,3.15,3.09,2526
31/08/2025,Vallecano,Barcelona,1,1,D,6.74,5.11,1.39,2526
12/09/2025,Sevilla,Elche,2,2,D,1.85,3.4,4.47,2526
13/09/2025,Getafe,Oviedo,2,0,H,1.96,3.06,4.45,2526
13/09/2025,Sociedad,Real Madrid,1,2,A,5.25,4.17,1.59,2526
13/09/2025,Ath Bilbao,Alaves,0,1,A,1.57,3.83,6.25,2526
13/09/2025,Ath Madrid,Villarreal,2,0,H,1.81,3.7,4.28,2526
14/09/2025,Celta,Girona,1,1,D,1.69,3.97,4.61,2526
14/09/2025,Levante,Betis,2,2,D,3.18,3.26,2.25,2526
14/09/2025,Osasuna,Vallecano,2,0,H,2.48,3.15,2.91,2526
14/09/2025,Barcelona,Valencia,6,0,H,1.2,7.01,11.38,2526
15/09/2025,Espanol,Mallorca,3,2,H,2.14,3.22,3.46,2526
19/09/2025,Betis,Sociedad,3,1,H,1.93,3.6,3.8,2526
20/09/2025,Girona,Levante,0,4,A,1.93,3.51,3.95,2526
20/09/2025,Real Madrid,Espanol,2,0,H,1.2,6.67,13.36,2526
20/09/2025,Alaves,Sevilla,1,2,A,2.3,3.11,3.29,2526
20/09/2025,Villarreal,Osasuna,2,1,H,1.55,4.2,5.76,2526
20/09/2025,Valencia,Ath Bilbao,2,0,H,3.02,3.07,2.48,2526
21/09/2025,Vallecano,Celta,1,1,D,2.31,3.23,3.09,2526
21/09/2025,Mallorca,Ath Madrid,1,1,D,5.05,3.51,1.72,2526
21/09/2025,Elche,Oviedo,1,0,H,1.93,3.14,4.3,2526
21/09/2025,Barcelona,Getafe,3,0,H,1.22,6.27,11.89,2526
23/09/2025,Ath Bilbao,Girona,1,1,D,1.44,4.39,7.23,2526
23/09/2025,Espanol,Valencia,2,2,D,2.26,3.18,3.3,2526
23/09/2025,Levante,Real Madrid,1,4,A,8.29,5.69,1.31,2526
23/09/2025,Sevilla,Villarreal,1,2,A,3.07,3.29,2.32,2526
24/09/2025,Getafe,Alaves,1,1,D,2.3,2.87,3.6,2526
24/09/2025,Ath Madrid,Vallecano,3,2,H,1.5,4.25,6.31,2526
24/09/2025,Sociedad,Mallorca,1,0,H,1.79,3.49,4.69,2526
25/09/2025,Osasuna,Elche,1,1,D,1.97,3.12,4.21,2526
25/09/2025,Oviedo,Barcelona,1,3,A,9.68,6.19,1.25,2526
26/09/2025,Girona,Espanol,0,0,D,2.44,3.31,2.87,2526
27/09/2025,Getafe,Levante,1,1,D,2.05,3.13,3.95,2526
27/09/2025,Ath Madrid,Real Madrid,5,2,H,2.94,3.53,2.29,2526
27/09/2025,Mallorca,Alaves,1,0,H,2.33,2.97,3.4,2526
27/09/2025,Villarreal,Ath Bilbao,1,0,H,2.08,3.3,3.64,2526
28/09/2025,Vallecano,Sevilla,0,1,A,2,3.28,3.8,2526
28/09/2025,Elche,Celta,2,1,H,2.78,3.14,2.57,2526
