football_data_co_uk,football_data_org,статус
"Alaves","Deportivo Alavés","по значимому слову"
"Almeria","UD Almería","по значимому слову"
"Ath Bilbao","Athletic Club","известное исключение"
"Ath Madrid","Club Atlético de Madrid","известное исключение"
"Barcelona","FC Barcelona","известное исключение"
"Betis","Real Betis Balompié","по значимому слову"
"Cadiz","Cádiz CF","по значимому слову"
"Celta","RC Celta de Vigo","по значимому слову"
"Cordoba","","НЕ НАЙДЕНО - либо не в лиге сейчас, либо вписать вручную"
"Eibar","","НЕ НАЙДЕНО - либо не в лиге сейчас, либо вписать вручную"
"Elche","Elche CF","по значимому слову"
"Espanol","RCD Espanyol de Barcelona","известное исключение"
"Getafe","Getafe CF","по значимому слову"
"Girona","Girona FC","по значимому слову"
"Granada","Granada CF","по значимому слову"
"Huesca","","НЕ НАЙДЕНО - либо не в лиге сейчас, либо вписать вручную"
"La Coruna","","НЕ НАЙДЕНО - либо не в лиге сейчас, либо вписать вручную"
"Las Palmas","UD Las Palmas","по значимому слову"
"Leganes","CD Leganés","по значимому слову"
"Levante","Levante UD","по значимому слову"
"Malaga","","НЕ НАЙДЕНО - либо не в лиге сейчас, либо вписать вручную"
"Mallorca","RCD Mallorca","по значимому слову"
"Osasuna","CA Osasuna","по значимому слову"
"Oviedo","Real Oviedo","по значимому слову"
"Real Madrid","Real Madrid CF","известное исключение"
"Sevilla","Sevilla FC","по значимому слову"
"Sociedad","Real Sociedad de Fútbol","по значимому слову"
"Sp Gijon","","НЕ НАЙДЕНО - либо не в лиге сейчас, либо вписать вручную"
"Valencia","Valencia CF","по значимому слову"
"Valladolid","Real Valladolid CF","по значимому слову"
"Vallecano","Rayo Vallecano de Madrid","по значимому слову"
"Villarreal","Villarreal CF","по значимому слову"
